destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,1,0,0,0,0,4,1,2,0,5,1,4,1,-1.1804313471038066,0.19606592481404042
Home,Alone,Sunny,55,6PM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,0,0,1,0,0,4,1,2,0,5,1,4,1,-1.1804313471038066,0.19606592481404042
Work,Alone,Sunny,55,7AM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,1,1,0,0,0,4,1,2,0,5,1,4,1,-1.1804313471038066,0.19606592481404042
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,1,0,0,0,0,2,2,2,1,5,4,5,1,-0.6025346456340034,1.4803399592749615
Home,Alone,Sunny,55,6PM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,1,0,0,2,2,2,1,5,4,5,1,-0.6025346456340034,1.4803399592749615
Work,Alone,Sunny,55,7AM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,1,1,0,0,0,2,2,2,1,5,4,5,1,-0.6025346456340034,1.4803399592749615
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,0,0,0,0,0,1,2,2,1,1,6,3,2,-0.8620754326692814,0.18941253728953986
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,0,0,1,1,0,1,2,2,1,1,6,3,2,-0.8620754326692814,0.18941253728953986
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,1,1,0,1,0,1,2,2,1,1,6,3,2,-0.8620754326692814,0.18941253728953986
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,1,0,0,0,1,2,3,3,3,3,8,5,3,2.1279525342487964,1.8373743581756454
Home,Alone,Sunny,55,6PM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,0,0,1,1,1,2,3,3,3,3,8,5,3,2.1279525342487964,1.8373743581756454
Work,Alone,Sunny,55,7AM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,1,1,0,0,1,2,3,3,3,3,8,5,3,2.1279525342487964,1.8373743581756454
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,1,0,0,0,0,1,3,3,1,3,3,4,3,0.00877641477169012,0.29424780113787086
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,0,0,1,0,0,1,3,3,1,3,3,4,3,0.00877641477169012,0.29424780113787086
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,1,1,0,0,0,1,3,3,1,3,3,4,3,0.00877641477169012,0.29424780113787086
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,0,0,0,1,2,0,2,2,3,1,8,4,3,0.755336232064011,1.1104440940600946
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,0,0,1,1,2,0,2,2,3,1,8,4,3,0.755336232064011,1.1104440940600946
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,1,1,0,1,2,0,2,2,3,1,8,4,3,0.755336232064011,1.1104440940600946
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,0,0,0,0,0,1,1,2,1,7,4,4,1,-1.5114492217579687,1.7022301865567835
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,0,0,0,0,1,1,2,1,7,4,4,1,-1.5114492217579687,1.7022301865567835
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,0,0,1,1,0,1,1,2,1,7,4,4,1,-1.5114492217579687,1.7022301865567835
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,1,0,1,0,1,1,2,1,7,4,4,1,-1.5114492217579687,1.7022301865567835
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,0,0,0,1,0,2,2,1,1,2,4,4,2,-1.1767651926890814,0.3106443595935705
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,0,0,1,0,0,2,2,1,1,2,4,4,2,-1.1767651926890814,0.3106443595935705
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,1,1,0,1,0,2,2,1,1,2,4,4,2,-1.1767651926890814,0.3106443595935705
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,0,0,4,4,4,4,4,3,4,1,0,4.8370279569122046,-1.637143119647253
Home,Alone,Sunny,55,6PM,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,1,1,4,4,4,4,4,3,4,1,0,4.8370279569122046,-1.637143119647253
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,0,0,0,0,0,2,3,1,0,2,7,2,2,-1.2328112583452007,-0.18327543072553143
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,0,0,1,0,0,2,3,1,0,2,7,2,2,-1.2328112583452007,-0.18327543072553143
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,1,1,0,0,0,2,3,1,0,2,7,2,2,-1.2328112583452007,-0.18327543072553143
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,1,0,0,1,2,2,3,3,1,7,8,5,3,1.2947812437170254,2.450809221126944
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,0,0,1,1,2,2,3,3,1,7,8,5,3,1.2947812437170254,2.450809221126944
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,1,1,0,1,2,2,3,3,1,7,8,5,3,1.2947812437170254,2.450809221126944
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,0,0,0,0,0,1,1,1,0,6,3,4,1,-2.657534553456366,1.1527256644475283
Home,Alone,Sunny,55,6PM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,0,0,1,0,0,1,1,1,0,6,3,4,1,-2.657534553456366,1.1527256644475283
Work,Alone,Sunny,55,7AM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,1,1,0,0,0,1,1,1,0,6,3,4,1,-2.657534553456366,1.1527256644475283
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,0,0,0,1,3,4,4,2,1,3,3,2,0,1.7515231160252969,-1.5257367529868584
Home,Alone,Sunny,55,6PM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,0,0,1,1,3,4,4,2,1,3,3,2,0,1.7515231160252969,-1.5257367529868584
Work,Alone,Sunny,55,7AM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,1,1,0,1,3,4,4,2,1,3,3,2,0,1.7515231160252969,-1.5257367529868584
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,0,0,0,1,3,0,3,2,1,2,4,4,3,0.21032581697570746,-0.017461614299503856
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,0,0,1,1,3,0,3,2,1,2,4,4,3,0.21032581697570746,-0.017461614299503856
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,1,1,0,0,3,0,3,2,1,2,4,4,3,0.21032581697570746,-0.017461614299503856
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,1,0,0,0,0,4,2,4,2,1,2,2,0,1.5062115409676944,-1.3830175730446244
Home,Alone,Sunny,55,6PM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,0,0,1,0,0,4,2,4,2,1,2,2,0,1.5062115409676944,-1.3830175730446244
Work,Alone,Sunny,55,7AM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,1,1,0,0,0,4,2,4,2,1,2,2,0,1.5062115409676944,-1.3830175730446244
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,0,0,0,1,1,2,2,2,0,5,2,2,1,-1.1425698993984281,-0.6159155457501123
Home,Alone,Sunny,55,6PM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,0,0,1,1,1,2,2,2,0,5,2,2,1,-1.1425698993984281,-0.6159155457501123
Work,Alone,Sunny,55,7AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,1,1,0,1,1,2,2,2,0,5,2,2,1,-1.1425698993984281,-0.6159155457501123
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,0,0,0,1,2,0,3,2,2,3,8,2,3,0.4682057854559024,0.3754738085253669
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,1,0,0,1,2,0,3,2,2,3,8,2,3,0.4682057854559024,0.3754738085253669
Home,Alone,Sunny,55,6PM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,0,0,1,1,2,0,3,2,2,3,8,2,3,0.4682057854559024,0.3754738085253669
Work,Alone,Sunny,55,7AM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,1,1,0,1,2,0,3,2,2,3,8,2,3,0.4682057854559024,0.3754738085253669
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,1,0,0,0,1,2,3,2,2,4,4,2,0,0.5250539416189008,-0.38456119351873747
Home,Alone,Sunny,55,6PM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,0,0,1,1,1,2,3,2,2,4,4,2,0,0.5250539416189008,-0.38456119351873747
Work,Alone,Sunny,55,7AM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,1,1,0,0,1,2,3,2,2,4,4,2,0,0.5250539416189008,-0.38456119351873747
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,0,0,0,0,1,0,3,4,1,4,2,4,3,0.5088765496266708,0.27763336044801107
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,1,0,0,1,1,0,3,4,1,4,2,4,3,0.5088765496266708,0.27763336044801107
Home,Alone,Sunny,55,6PM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,0,0,1,1,1,0,3,4,1,4,2,4,3,0.5088765496266708,0.27763336044801107
Work,Alone,Sunny,55,7AM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,1,1,0,1,1,0,3,4,1,4,2,4,3,0.5088765496266708,0.27763336044801107
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,0,0,0,1,0,0,3,2,1,5,3,2,1,-1.1009403566630025,-0.1360747534657194
Home,Alone,Sunny,55,6PM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,0,0,1,1,0,0,3,2,1,5,3,2,1,-1.1009403566630025,-0.1360747534657194
Work,Alone,Sunny,55,7AM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,1,1,0,0,0,0,3,2,1,5,3,2,1,-1.1009403566630025,-0.1360747534657194
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,0,0,0,0,2,2,3,3,2,7,2,2,0,1.2455209215276013,-0.282216771933949
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,0,0,1,2,2,3,3,2,7,2,2,0,1.2455209215276013,-0.282216771933949
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,0,0,1,1,2,2,3,3,2,7,2,2,0,1.2455209215276013,-0.282216771933949
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,1,0,1,2,2,3,3,2,7,2,2,0,1.2455209215276013,-0.282216771933949
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,0,0,0,1,2,2,2,4,2,2,2,5,0,1.7253734781526124,0.20650581751995334
Home,Alone,Sunny,55,6PM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,0,0,1,1,2,2,2,4,2,2,2,5,0,1.7253734781526124,0.20650581751995334
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,1,1,0,1,2,2,2,4,2,2,2,5,0,1.7253734781526124,0.20650581751995334
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,1,0,0,0,1,1,2,1,0,6,2,2,1,-2.0760878625811925,-0.3155331871762701
Home,Alone,Sunny,55,6PM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,0,0,1,1,1,1,2,1,0,6,2,2,1,-2.0760878625811925,-0.3155331871762701
Work,Alone,Sunny,55,7AM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,1,1,0,1,1,1,2,1,0,6,2,2,1,-2.0760878625811925,-0.3155331871762701
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,1,0,0,0,0,2,3,2,2,6,5,2,1,0.19226257076732692,0.4233780099191365
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,0,0,1,1,0,2,3,2,2,6,5,2,1,0.19226257076732692,0.4233780099191365
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,1,1,0,0,0,2,3,2,2,6,5,2,1,0.19226257076732692,0.4233780099191365
