destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,1,0,0,0,0,1,2,1,1,3,5,5
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,0,0,1,1,0,1,2,1,1,3,5,5
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,never,less1,1~3,less1,less1,1,1,0,0,0,1,2,1,1,3,5,5
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,1,0,0,0,0,4,1,2,0,5,1,4
Home,Alone,Sunny,55,6PM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,0,0,1,0,0,4,1,2,0,5,1,4
Work,Alone,Sunny,55,7AM,1d,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,gt8,less1,1~3,never,1,1,0,0,0,4,1,2,0,5,1,4
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,1,0,0,0,0,2,2,2,1,5,4,5
Home,Alone,Sunny,55,6PM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,1,0,0,2,2,2,1,5,4,5
Work,Alone,Sunny,55,7AM,1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$50000 - $62499,never,1~3,1~3,1~3,less1,1,1,0,0,0,2,2,2,1,5,4,5
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,0,0,0,0,0,1,2,2,1,1,6,3
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,0,0,1,1,0,1,2,2,1,1,6,3
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,Associates degree,Student,$75000 - $87499,never,less1,1~3,1~3,less1,1,1,0,1,0,1,2,2,1,1,6,3
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,1,0,0,0,1,2,3,3,3,3,8,5
Home,Alone,Sunny,55,6PM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,0,0,1,1,1,2,3,3,3,3,8,5
Work,Alone,Sunny,55,7AM,1d,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,less1,1~3,4~8,4~8,4~8,1,1,0,0,1,2,3,3,3,3,8,5
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,1,0,0,0,0,1,3,3,1,3,3,4
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,0,0,1,0,0,1,3,3,1,3,3,4
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Bachelors degree,Life Physical Social Science,$37500 - $49999,never,less1,4~8,4~8,less1,1,1,0,0,0,1,3,3,1,3,3,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,0,0,0,1,2,0,2,2,3,1,8,4
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,0,0,1,1,2,0,2,2,3,1,8,4
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Student,$100000 or More,1~3,never,1~3,1~3,4~8,1,1,0,1,2,0,2,2,3,1,8,4
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,0,0,0,0,0,1,1,2,1,7,4,4
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,0,0,0,0,1,1,2,1,7,4,4
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,0,0,1,1,0,1,1,2,1,7,4,4
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,1,0,1,0,1,1,2,1,7,4,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,0,0,0,1,0,2,2,1,1,2,4,4
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,0,0,1,0,0,2,2,1,1,2,4,4
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,less1,1,1,0,1,0,2,2,1,1,2,4,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,0,0,4,4,4,4,4,3,4,1
Home,Alone,Sunny,55,6PM,1d,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,1,1,4,4,4,4,4,3,4,1
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,0,0,0,0,0,2,3,1,0,2,7,2
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,0,0,1,0,0,2,3,1,0,2,7,2
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,never,1~3,4~8,less1,never,1,1,0,0,0,2,3,1,0,2,7,2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,1,0,0,1,2,2,3,3,1,7,8,5
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,0,0,1,1,2,2,3,3,1,7,8,5
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,1~3,1~3,4~8,4~8,less1,1,1,0,1,2,2,3,3,1,7,8,5
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,0,0,0,0,0,1,1,1,0,6,3,4
Home,Alone,Sunny,55,6PM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,0,0,1,0,0,1,1,1,0,6,3,4
Work,Alone,Sunny,55,7AM,1d,Female,46,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,less1,less1,less1,never,1,1,0,0,0,1,1,1,0,6,3,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,0,0,0,1,3,4,4,2,1,3,3,2
Home,Alone,Sunny,55,6PM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,0,0,1,1,3,4,4,2,1,3,3,2
Work,Alone,Sunny,55,7AM,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,4~8,gt8,gt8,1~3,less1,1,1,0,1,3,4,4,2,1,3,3,2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,0,0,0,1,3,0,3,2,1,2,4,4
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,0,0,1,1,3,0,3,2,1,2,4,4
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,4~8,never,4~8,1~3,less1,1,1,0,0,3,0,3,2,1,2,4,4
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,1,0,0,0,0,4,2,4,2,1,2,2
Home,Alone,Sunny,55,6PM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,0,0,1,0,0,4,2,4,2,1,2,2
Work,Alone,Sunny,55,7AM,1d,Female,21,Married partner,1,Some college - no degree,Student,$25000 - $37499,never,gt8,1~3,gt8,1~3,1,1,0,0,0,4,2,4,2,1,2,2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,0,0,0,1,1,2,2,2,0,5,2,2
Home,Alone,Sunny,55,6PM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,0,0,1,1,1,2,2,2,0,5,2,2
Work,Alone,Sunny,55,7AM,1d,Female,41,Single,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,less1,1~3,1~3,1~3,never,1,1,0,1,1,2,2,2,0,5,2,2
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,0,0,0,1,2,0,3,2,2,3,8,2
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,1,0,0,1,2,0,3,2,2,3,8,2
Home,Alone,Sunny,55,6PM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,0,0,1,1,2,0,3,2,2,3,8,2
Work,Alone,Sunny,55,7AM,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,1~3,never,4~8,1~3,1~3,1,1,0,1,2,0,3,2,2,3,8,2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,1,0,0,0,1,2,3,2,2,4,4,2
Home,Alone,Sunny,55,6PM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,0,0,1,1,1,2,3,2,2,4,4,2
Work,Alone,Sunny,55,7AM,1d,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,1,1,0,0,1,2,3,2,2,4,4,2
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,0,0,0,0,1,0,3,4,1,4,2,4
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,1,0,0,1,1,0,3,4,1,4,2,4
Home,Alone,Sunny,55,6PM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,0,0,1,1,1,0,3,4,1,4,2,4
Work,Alone,Sunny,55,7AM,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,never,4~8,gt8,less1,1,1,0,1,1,0,3,4,1,4,2,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,0,0,0,1,0,0,3,2,1,5,3,2
Home,Alone,Sunny,55,6PM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,0,0,1,1,0,0,3,2,1,5,3,2
Work,Alone,Sunny,55,7AM,1d,Male,41,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,never,never,4~8,1~3,less1,1,1,0,0,0,0,3,2,1,5,3,2
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,0,0,0,0,2,2,3,3,2,7,2,2
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,0,0,1,2,2,3,3,2,7,2,2
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,0,0,1,1,2,2,3,3,2,7,2,2
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,1,0,1,2,2,3,3,2,7,2,2
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,0,0,0,1,2,2,2,4,2,2,2,5
Home,Alone,Sunny,55,6PM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,0,0,1,1,2,2,2,4,2,2,2,5
Work,Alone,Sunny,55,7AM,1d,Female,26,Single,0,Graduate degree (Masters or Doctorate),Legal,$25000 - $37499,1~3,1~3,1~3,gt8,1~3,1,1,0,1,2,2,2,4,2,2,2,5
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,1,0,0,0,1,1,2,1,0,6,2,2
Home,Alone,Sunny,55,6PM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,0,0,1,1,1,1,2,1,0,6,2,2
Work,Alone,Sunny,55,7AM,1d,Female,46,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,less1,less1,1~3,less1,never,1,1,0,1,1,1,2,1,0,6,2,2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,1,0,0,0,0,2,3,2,2,6,5,2
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,0,0,1,1,0,2,3,2,2,6,5,2
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Some college - no degree,Computer & Mathematical,$62500 - $74999,never,1~3,4~8,1~3,1~3,1,1,0,0,0,2,3,2,2,6,5,2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,1,0,0,0,0,0,1,2,1,7,7,4
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,0,0,1,1,0,0,1,2,1,7,7,4
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,1,1,0,0,0,0,1,2,1,7,7,4
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,0,0,0,2,2,2,1,2,4,3
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,2,4,3
Home,Alone,Sunny,55,6PM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,1,1,0,2,2,2,1,2,4,3
Work,Alone,Sunny,55,7AM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,1,1,0,1,0,2,2,2,1,2,4,3
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,0,0,0,0,2,1,3,2,1,1,3,4
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,0,0,1,0,2,1,3,2,1,1,3,4
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,1,1,0,0,2,1,3,2,1,1,3,4
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,0,0,0,0,2,3,3,3,3,3,4,5
Home,Alone,Sunny,55,6PM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,0,0,1,1,2,3,3,3,3,3,4,5
Work,Alone,Sunny,55,7AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,1,1,0,1,2,3,3,3,3,3,4,5
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,0,0,0,0,1,1,2,3,1,1,6,4
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,1,0,0,1,1,1,2,3,1,1,6,4
Home,Alone,Sunny,55,6PM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,0,0,1,1,1,1,2,3,1,1,6,4
Work,Alone,Sunny,55,7AM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,1,1,0,0,1,1,2,3,1,1,6,4
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,1,0,0,0,1,1,2,3,1,4,7,5
Home,Alone,Sunny,55,6PM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,0,0,1,0,1,1,2,3,1,4,7,5
Work,Alone,Sunny,55,7AM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,1,1,0,0,1,1,2,3,1,4,7,5
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never,1,0,0,0,0,0,2,0,0,3,2,4
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never,0,0,1,0,0,0,2,0,0,3,2,4
